record_id,source_file,source_sentence,old_parameter,independently_expected_parameter,old_value_if_available,independently_expected_value,old_unit_if_available,independently_expected_unit,classification,reason
old-audit-2051,glossary/total-hardness.html,Typical Values &#127919; Pool targets use calcium hardness; calcium is ~60–70% of total hardness in typical tap water Related Resources Understanding Calcium Hardness Last reviewed: 2026-06-01,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,60-70% of total hardness figure directly relates to calcium hardness -- correct.
old-audit-2073,glossary/water-temperature.html,"Ideal Range: 78–84 °F Calculators Chemical Calculator Related Langelier Saturation Index Free Chlorine pH Hot Tub Water Balancing Full entity details → Glossary 2 min read Updated 2026-06-01 Water Temperature Water temperature affects chlorine demand, chemical reaction rates, calcium solubility, and…",ph,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,78-84F is the Temperature entity's own ideal range; page explicitly ends '...Water Temperature Water temperature affects...'.
old-audit-2074,glossary/water-temperature.html,"Definition Details Values Definition Water temperature affects chlorine demand, chemical reaction rates, calcium solubility, and the Langelier Saturation Index. &#127919; Typical Values: Pool: 78–84°F; Hot tub: 98–104°F; Maximum safe: 104°F In Plain Language Chlorine degrades approximately twice as …",water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"78-84F/98-104F/104F -- correct (near-duplicate content correctly tagged here, showing old bug's inconsistency)."
old-audit-2111,guides/advanced/chlorine-vs-saltwater.html,"Related guides CYA stabilizer explained Chlorine breakdown in sunlight High CYA and chlorine lock Why pH affects chlorine Chlorine dosing for 10,000 gal Common Questions Do saltwater pools use chlorine?",ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"Related-links navigation block; pH mentioned once in one of several unrelated link titles, no coherent claim."
old-audit-2131,guides/advanced/cya-stabilizer-explained.html,Does indoor water need CYA?,cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (CYA question heading).
old-audit-2162,guides/alkalinity-guide.html,Calculator Open pool alkalinity calculator All alkalinity-related pages Pool Alkalinity Calculator What Is Pool Alkalinity Low Alkalinity Symptoms ← Pool chemistry basics Typical range: 1–3 ppm chlorine Recommended pH: 7.2–7.6 Test water regularly WaterBalanceTools provides practical calculators and…,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH 7.2-7.6 is present and correctly tagged, but a free_chlorine 1-3 ppm claim in the same text is silently dropped."
old-audit-2221,guides/chlorine/index.html,Free Chlorine vs Total Chlorine Explained Free chlorine is the active sanitizer; total chlorine = free + combined.,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; free_chlorine is the primary/first-named topic.
old-audit-2234,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Overnight FC loss is almost always a chlorine demand issue, not a dosing problem Common causes: algae, high phosphates, insufficient CYA, organic debris The fix is a large breakpoint shock dose — not just topping up FC Check CYA levels; below 30 ppm outdoors loses FC rapidly to UV When free chlorine…",free_chlorine,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"The stated '30 ppm' is explicitly a CYA threshold ('Check CYA levels; below 30 ppm...'), not an FC value, though FC is the passage's overall topic (borderline call)."
old-audit-2328,guides/hot-tub-maintenance.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; chlorine/pH/total alkalinity listed equally, pH is the middle item."
old-audit-2351,guides/hot-tub/hot-tub-chlorine-too-low.html,"Hot Tub Chlorine Too Low: Causes and Fix Quick Answer Hot tub chlorine below 1 ppm is unsafe — at 100–104 °F, bacteria multiply very rapidly in under-sanitized water.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,Both a free_chlorine (below 1 ppm) and a water_temperature (100-104F) claim are explicitly present and both dropped.
old-audit-2359,guides/hot-tub/hot-tub-chlorine-too-low.html,Calculator Hot Tub Chlorine Calculator Reference: Pool Chemical Levels Chart Related Pool Chemistry Guides Related in this topic Index Why Does Hot Tub Water Smell Why Is My Hot Tub Foamy Hot tub chemicals — 200 gal Hot tub chemicals — 300 gal Related topics Does Rain Lower Pool Ph Total Alkalinity …,ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"Related-links navigation block; '200 gal'/'300 gal' are link-title volume figures, pH appears once in one link title among many."
old-audit-2391,guides/hot-tub/index.html,Category Cards Hot Tub Alkalinity Too High: What to Do Browse hot tub alkalinity too high content.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (alkalinity category card).
old-audit-2442,guides/ph/does-rain-lower-pool-ph.html,"Acid rain (pH below 5) from industrial areas can have a stronger lowering effect, but most residential pool owners in urban areas should follow the same post-rain testing routine regardless.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,pH below 5 -- correct.
old-audit-2446,guides/ph/how-to-lower-pool-ph.html,"Muriatic acid is the most effective pH-lowering chemical for pools Never add more than 16 oz per 10,000 gallons in a single treatment Always adjust alkalinity before pH for more stable long-term results Wear gloves and eye protection when handling muriatic acid Lowering pH is a routine maintenance t…",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"16 oz/10,000 gal is a dosage safety limit supporting the passage's core pH-lowering topic -- defensible."
old-audit-2448,guides/ph/how-to-lower-pool-ph.html,"Dose table: muriatic acid (31.45%) Pool size To lower pH by 0.2 To lower pH by 0.5 5,000 gal ~2 oz ~5 oz 10,000 gal ~4 oz ~10 oz 15,000 gal ~6 oz ~15 oz 20,000 gal ~8 oz ~20 oz 30,000 gal ~12 oz ~30 oz These are starting estimates.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Explicit 'lower pH by 0.2/0.5' dose table -- correct.
old-audit-2511,guides/pool-chemistry-basics.html,"If it's too high, pH can be hard to lower.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-2514,guides/pool-chemistry-basics.html,Record results and adjust chemicals based on your pool volume—use our Chemical Calculator for dosing.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no single chemistry parameter (pool volume mentioned generically)."
old-audit-2588,guides/questions/why-does-pool-water-turn-cloudy.html,Do not allow swimming in cloudy water until it clears and FC is confirmed at 1–3 ppm with pH 7.2–7.6.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH 7.2-7.6 correctly tagged, but FC 1-3 ppm in the same sentence is silently dropped."
old-audit-2592,guides/questions/why-does-pool-water-turn-cloudy.html,Can I use flocculant for cloudy water?,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no chemistry parameter."
old-audit-2662,hot-tub-chlorine-levels-chart.html,Hot Tub Chlorine Levels Chart Quick Answer Ideal free chlorine (FC) for hot tubs and spas is 3–5 ppm.,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,3-5 ppm FC -- correct.
old-audit-2665,hot-tub-chlorine-levels-chart.html,"Hot tubs require 3–5 ppm FC — higher than pools — due to elevated temperatures Below 1 ppm FC at spa temperatures creates health risks rapidly Test FC before every soak, not just weekly Dichlor granules are the standard product for hot tub chlorination Calculate Your Levels Hot Tub Chlorine Calculat…",free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,3-5 ppm / 1 ppm FC -- correct.
old-audit-2679,index.html,Chlorine Calculator Calculate how much chlorine to add based on your test results. pH Calculator Adjust pH with increaser or reducer based on current levels.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,No number; Chlorine Calculator and pH Calculator named equally.
old-audit-2681,index.html,Chlorine Levels Chart Daily vs shock chlorine targets and how to read your tests. pH Levels Chart Target bands and why pH matters for sanitizer and comfort.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,No number; Chlorine chart and pH chart named equally.
old-audit-2689,index.html,Test alkalinity and other parameters weekly.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-2741,methodology/calculation-assumptions/index.html,"Why Calculators Provide Estimates Pool chemistry involves continuous dynamic processes: evaporation, bather load, temperature fluctuation, UV exposure, and chemical degradation all affect water chemistry between treatments.",water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; temperature is one of five listed factors (evaporation, bather load, temperature, UV, degradation), no clear primary."
old-audit-2820,pool-cya-levels-chart.html,What happens if CYA is too high?,cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-2826,pool-cya-levels-chart.html,Salt water chlorine generators produce unstabilized chlorine (same as liquid chlorine) that degrades rapidly in sunlight.,salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; passage is more about SWG chlorine degradation behavior than a salt-concentration claim, though 'salt water' opens the sentence."
old-audit-2832,pool-ph-levels-chart.html,Fixing pH first often fixes mysterious chlorine demand faster than endlessly raising sanitizer.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; pH is the literal grammatical subject.
old-audit-2837,printables/airbnb-pool-turnover-checklist.html,Steps Test water — Check chlorine (1–3 ppm) and pH (7.2–7.6).,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH 7.2-7.6 correctly tagged, but chlorine 1-3 ppm in the same sentence is silently dropped."
old-audit-2861,programmatic/behavior/how-often-to-test-pool-water.html,Test alkalinity and stabilizer weekly or as your pool pro recommends.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number; alkalinity listed first, defensible."
old-audit-2899,programmatic/chlorine/how-much-chlorine-for-10000-gallon-pool.html,"Test first Get exact dosing Open Pool Chlorine Calculator Go deeper Advanced: Chlorine vs bromine comparison Edge case: Why pool pH keeps rising Related Pool Chemistry Guides Related in this topic Chlorine for 12,000 gal pool Chlorine for 15,000 gal pool Chlorine for 18,000 gal pool Chlorine for 20,…",ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"Related-links navigation block; gallon figures are link-title volumes, pH appears once in one link title among many."
old-audit-2902,programmatic/chlorine/how-much-chlorine-for-10000-gallon-pool.html,"For a 10,000-gallon pool , label dosing and reference tables assume known volume, known product strength, and a clear starting point for ppm.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"10,000 describes pool volume, a category the old system's vocabulary cannot represent at all -- (none) is the most honest available answer."
old-audit-2942,programmatic/chlorine/how-much-chlorine-for-18000-gallon-pool.html,Dosing uses your pool volume and test results.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no available-vocabulary parameter."
old-audit-3004,programmatic/chlorine/how-much-chlorine-for-5000-gallon-pool.html,"Test first Get exact dosing Open Pool Chlorine Calculator Go deeper Advanced: Salt water vs chlorine pool Edge case: Why pool pH keeps rising Related Pool Chemistry Guides Related in this topic Chlorine for 7,000 gal pool Chlorine for 8,000 gal pool Chlorine for 9,000 gal pool Green Pool How Much Ch…",ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Same related-links navigation pattern as idx2899.
old-audit-3040,programmatic/chlorine/how-much-chlorine-for-8000-gallon-pool.html,"Recommended Levels Chlorine: 1–3 ppm free Recommended pH: 7.2–7.6 Total alkalinity: 80–120 ppm (typical) What Happens If Levels Are Off Running too little free chlorine leaves water vulnerable to bacteria, algae, and murky conditions.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"Chlorine 1-3ppm, pH 7.2-7.6, and TA 80-120ppm are ALL explicit; only pH is kept."
old-audit-3115,programmatic/explanations/why-shower-before-pool.html,"Recommended Levels Free chlorine: 1–3 ppm (pools) pH balance: 7.2–7.6 Total alkalinity: 80–120 ppm (typical) What Happens If Levels Are Off Skipping showers repeatedly lets combined chlorine (chloramines) build, which irritates eyes and smells like “too much chlorine” even when free chlorine is marg…",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,Same three-parameter composite pattern as idx3040.
old-audit-3135,programmatic/hot-tubs/hot-tub-chemicals-for-200-gallons.html,"Too much chlorine or mis-dosed shock can damage covers, irritate skin, and create unsafe soak conditions.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; qualitative safety statement.
old-audit-3165,programmatic/hot-tubs/hot-tub-chemicals-for-400-gallons.html,"Too much chlorine or mis-dosed shock can damage covers, irritate skin, and create unsafe soak conditions.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Duplicate of idx3135 content.
old-audit-3178,programmatic/hot-tubs/hot-tub-chemicals-for-500-gallons.html,Recommended Levels Free chlorine (spas): 3–5 ppm Common pH: 7.2–7.8 (check label/equipment) Total alkalinity: follow spa manufacturer guidance What Happens If Levels Are Off Too little sanitizer in a spa allows bacteria and biofilm risk in pipes and surfaces—often before water looks bad.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,FC 3-5ppm and pH 7.2-7.8 both explicit; only pH kept (TA has no number here).
old-audit-3195,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,"Too much chlorine or mis-dosed shock can damage covers, irritate skin, and create unsafe soak conditions.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Duplicate of idx3135 content.
old-audit-3221,programmatic/index.html,"How Much Chlorine for 15000 Gallon Pool (Exact Dose) | Pool Water Chemistry Guide Get exact ounces for a 15,000-gallon pool.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"15,000 describes pool volume, outside old vocabulary -- (none) is the most honest available answer."
old-audit-3281,programmatic/ph/how-to-adjust-ph-from-8-to-7-5.html,"Total alkalinity acts as a buffer—if alkalinity is far out of range, pH may drift back quickly after you dose.",ph,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; total_alkalinity is grammatical subject/cause, pH is the effect."
old-audit-3359,programmatic/problems/low-alkalinity-symptoms.html,Add alkalinity increaser per product label in divided doses.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-3365,programmatic/problems/low-alkalinity-symptoms.html,"Recommended Levels Free chlorine (pools): 1–3 ppm pH balance: 7.2–7.6 Total alkalinity: 80–120 ppm (typical) What Happens If Levels Are Off Low alkalinity lets pH crash or spike within hours, which can etch plaster, corrode heaters, and irritate swimmers.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"FC 1-3ppm, pH 7.2-7.6, TA 80-120ppm all explicit; only pH kept."
old-audit-3386,programmatic/shock/how-much-shock-for-15000-gallon-pool.html,Shock raises free chlorine fast.,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-3456,programmatic/shock/how-much-shock-for-5000-gallon-pool.html,Recommended Levels After shock: return to 1–3 ppm free chlorine for swimming Typical pH: 7.2–7.6 before/after treatment Total alkalinity: 80–120 ppm (typical) What Happens If Levels Are Off Under-shocking during an algae bloom or after heavy contamination often wastes time: chlorine may rise briefly…,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"FC 1-3ppm, pH 7.2-7.6, TA 80-120ppm all explicit; only pH kept."
old-audit-3473,provenance/index.html,"Dataset Version Records Last Reviewed Consumers Chemical Ranges 2026.07 36 2026-07-01 Pool Chlorine Calculator, Pool Shock Calculator, Pool pH Calculator, Pool Alkalinity Calculator, Pool CYA Calculator, Saltwater Pool Salt Calculator, All-in-One Chemical Calculator, Hot Tub Chlorine Calculator, Hot…",ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,NON_CHEMISTRY_NUMERIC,"Dataset provenance metadata (version 2026.07, 36 records, dates); numbers are metadata, not chemistry values; 'pH' is one calculator name among a long list."
old-audit-3484,reference/calcium-hardness-explained.html,Calcium chloride (CaCl₂) is the standard product used to raise pool calcium hardness.,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-3542,reference/combined-chlorine-explained.html,"In indoor pools, trichloramines off-gas into the air, creating a toxic atmosphere with prolonged exposure.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correctly conservative (page topic is combined_chlorine but this specific sentence has no value).
old-audit-3569,reference/cya-matrix.html,Indoor pools and covered spas do not require CYA.,cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-3610,reference/datasets/chemical-ranges/index.html,"Only reduced by dilution. residential-pool-cyanuric-acid residential-pool cyanuric-acid ppm {""min"":30,""max"":50,""ideal"":40} {""low"":0,""high"":80} {""low"":null,""high"":100} Above 80 ppm, increase FC target proportionally.",free_chlorine,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Raw structured data explicitly labeled 'residential-pool-cyanuric-acid'/'cyanuric-acid' with min:30/max:50/ideal:40; FC appears only in a trailing note.
old-audit-3631,reference/datasets/conversion-factors/index.html,Density varies slightly with temperature.,water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-3640,reference/datasets/dosage-matrices/index.html,"Dissolves rapidly. — ppm CYA per oz per 10k gal — trichlor-tablets-90pct Trichlor Tablets (90%) trichlor-tablets 90 free-chlorine 1 10000 gallons 1.5 oz (dry) 42.1 residential-pool outdoor-pool 0.6 decrease Slow-dissolving. pH ~2.9, adds acidity over time.",ph,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"Structured dosage-matrix row explicitly labeled 'free-chlorine' for Trichlor Tablets; 'pH ~2.9' is a trailing note, not the record's primary subject."
old-audit-3645,reference/datasets/dosage-matrices/index.html,"Multiple treatments may be required. — — — soda-ash-100pct-ph Soda Ash (Sodium Carbonate, 100%) — pH Increase soda-ash 100 ph 0.2 10000 gallons 8 oz (dry) — residential-pool saltwater-pool hot-tub commercial-pool indoor-pool outdoor-pool — increase Approximate.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Structured record explicitly labeled 'soda-ash-100pct-ph'/'pH Increase'/'ph 0.2' -- correct.
old-audit-3652,reference/datasets/maintenance-schedules/index.html,Canonical Dataset 🗓 Maintenance Schedules Reusable structured maintenance schedules for different pool and spa types and usage scenarios.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no parameter."
old-audit-3709,reference/ideal-pool-levels.html,Core Parameters Parameter Minimum Ideal Range Maximum Unit Free Chlorine 1.0 1–3 5 ppm Combined Chlorine 0 0 0.5 ppm pH 7.2 7.2–7.6 7.8 pH units Total Alkalinity 60 80–120 180 ppm Calcium Hardness (plaster) 150 200–400 500 ppm Calcium Hardness (vinyl/fibreglass) 100 150–250 400 ppm Cyanuric Acid (st…,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"Full reference table states SIX+ parameters (FC, CC, pH, TA, CH x2, CYA...) each with explicit values; only pH is kept."
old-audit-3777,reference/salt-matrix.html,Always verify with salt test strips or the system controller after dissolving.,salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
