claim_index,url,claim,parameter,minimum,maximum,unit,environment,extraction_status,scientific_review_status,notes
229,academy/hot-tubs/winter-spa-care.html,Unused hot tubs need proper winterization to prevent freeze damage.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
230,academy/hot-tubs/winter-spa-care.html,Key Facts Examples Calculator Related Winter hot tub management means either maintaining an active spa through colder temperatures or properly winterizing one that will not be used.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
231,academy/hot-tubs/winter-spa-care.html,Key Facts An active hot tub in winter uses significantly more energy — a properly fitted insulated cover reduces heat loss by 70%.,(none),70,70,%,hot_tub,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
232,academy/hot-tubs/winter-spa-care.html,"If winterizing, the spa must be fully drained including all plumbing lines to prevent freeze damage.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
233,academy/hot-tubs/winter-spa-care.html,"In cold climates, a hot tub should never be left with water in it without either the heater running or full winterization.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
234,academy/hot-tubs/winter-spa-care.html,Chlorine degrades faster at high operating temperatures in winter use — test more frequently during cold snaps.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
235,academy/hot-tubs/winter-spa-care.html,"Year-Round Spa Care in Cold Climates Running a hot tub through winter requires the same routine as summer use — daily testing, weekly maintenance, monthly deep cleans — with a few adjustments.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
236,academy/hot-tubs/winter-spa-care.html,Water temperature can stay at the normal 100–104°F; the heater simply runs more frequently to maintain it.,water_temperature,100,104,°f,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
237,academy/hot-tubs/winter-spa-care.html,Ensure the spa cover is in good condition and seats properly — a damaged or waterlogged cover increases energy costs significantly.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
238,academy/hot-tubs/winter-spa-care.html,"In areas with regular freezing temperatures, avoid letting the spa go into economy mode below 80°F unless you are confident the insulation and freeze protection are adequate.",(none),80,80,°f,hot_tub,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
239,academy/hot-tubs/winter-spa-care.html,"Winterizing a Spa If the spa will be unused for weeks or months during winter, proper winterization prevents freeze damage.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
240,academy/hot-tubs/winter-spa-care.html,Step 1: Balance chemistry and shock the water.,(none),1,1,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
241,academy/hot-tubs/winter-spa-care.html,Step 2: Drain the spa completely.,(none),2,2,,hot_tub,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
242,academy/hot-tubs/winter-spa-care.html,"Step 5: Add antifreeze rated for spa use (propylene glycol, not automotive antifreeze) to each jet and drain connection if any residual water concerns remain.",(none),5,5,,hot_tub,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
243,academy/index.html,Academy Pool & Hot Tub Chemistry Academy Structured guides that explain the science behind water balance — from fundamentals to advanced troubleshooting.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
244,academy/index.html,"Browse by Category Fundamentals Core water chemistry concepts every pool owner needs to understand. 6 articles Sanitizers Chlorine, bromine, salt, and alternative sanitization methods. 6 articles Testing How to test pool water accurately and interpret results. 6 articles Water Balance Balancing pH, …",(none),6,6,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
244,academy/index.html,"Browse by Category Fundamentals Core water chemistry concepts every pool owner needs to understand. 6 articles Sanitizers Chlorine, bromine, salt, and alternative sanitization methods. 6 articles Testing How to test pool water accurately and interpret results. 6 articles Water Balance Balancing pH, …",(none),6,6,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
244,academy/index.html,"Browse by Category Fundamentals Core water chemistry concepts every pool owner needs to understand. 6 articles Sanitizers Chlorine, bromine, salt, and alternative sanitization methods. 6 articles Testing How to test pool water accurately and interpret results. 6 articles Water Balance Balancing pH, …",ph,6,6,ph_units,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
245,academy/sanitizers/breakpoint-chlorination.html,Breakpoint Chlorination process Adding chlorine at 10× the combined chlorine level to destroy all chloramines.,combined_chlorine,10,10,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
246,academy/sanitizers/breakpoint-chlorination.html,Ideal Range: FC must reach 10× CC level Calculators Pool Shock Calculator Related Shock Treatment Combined Chlorine Free Chlorine Full entity details → In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,combined_chlorine,10,10,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
247,academy/sanitizers/breakpoint-chlorination.html,Tablets Shock Treatments Explained Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
248,academy/sanitizers/breakpoint-chlorination.html,Chlorine On This Page Key Facts The Chemistry Behind Breakpoint Calculating the Dose Executing Breakpoint Correctly Examples Common Mistakes Calculators Pool Shock Calculator Chemical Calculator Sanitizers 5 min read Updated 2026-06-01 Breakpoint Chlorination v2026.07 Breakpoint chlorination destroy…,shock_treatment,2026.07,2026.07,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: shock_treatment does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
249,academy/sanitizers/breakpoint-chlorination.html,This is the only reliable way to eliminate chloramines from a pool.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
250,academy/sanitizers/breakpoint-chlorination.html,Key Facts Examples Calculator Related Breakpoint chlorination is the process of adding enough free chlorine to chemically destroy all combined chlorine (chloramines) in pool water.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
251,academy/sanitizers/breakpoint-chlorination.html,The required dose is at least 10 times the measured combined chlorine level.,combined_chlorine,10,10,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
252,academy/sanitizers/breakpoint-chlorination.html,"Key Facts The breakpoint dose is 10 times the combined chlorine level, measured in ppm.",combined_chlorine,10,10,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
253,academy/sanitizers/breakpoint-chlorination.html,"Below breakpoint, adding chlorine actually increases combined chlorine before it starts decreasing it.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
254,academy/sanitizers/breakpoint-chlorination.html,Breakpoint must be reached in one dose — partial shock treatments leave more combined chlorine behind.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
255,academy/sanitizers/breakpoint-chlorination.html,Water should not be re-entered until free chlorine drops below 5 ppm after breakpoint treatment.,free_chlorine,5,5,ppm,unspecified,CORRECT_EXTRACTION,SUPPORTED,
256,academy/sanitizers/breakpoint-chlorination.html,"The Chemistry Behind Breakpoint When free chlorine reacts with ammonia in pool water, it forms chloramines in stages.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
257,academy/sanitizers/breakpoint-chlorination.html,"At low chlorine-to-ammonia ratios, monochloramine forms and then dichloramine.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
258,academy/sanitizers/breakpoint-chlorination.html,"As the ratio increases further, a &quot;breakpoint&quot; is reached where further chlorine addition converts chloramines into nitrogen gas, which escapes the pool.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
259,academy/sanitizers/breakpoint-chlorination.html,"The breakpoint occurs at a molar ratio of about 7.6:1 (Cl:N), which approximately corresponds to 10x the combined chlorine level in ppm.",(none),7.6,7.6,ph_units,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
259,academy/sanitizers/breakpoint-chlorination.html,"The breakpoint occurs at a molar ratio of about 7.6:1 (Cl:N), which approximately corresponds to 10x the combined chlorine level in ppm.",(none),1,1,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
259,academy/sanitizers/breakpoint-chlorination.html,"The breakpoint occurs at a molar ratio of about 7.6:1 (Cl:N), which approximately corresponds to 10x the combined chlorine level in ppm.",combined_chlorine,10,10,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
260,academy/sanitizers/bromine-vs-chlorine.html,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
261,academy/sanitizers/bromine-vs-chlorine.html,Tablets Shock Treatments Explained Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
262,academy/sanitizers/bromine-vs-chlorine.html,Chlorine On This Page Key Facts How Bromine Works Comparing to Chlorine When to Choose Bromine Examples Common Mistakes Calculators Hot Tub Chlorine Calculator Chemical Calculator Sanitizers 6 min read Updated 2026-06-01 Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
263,academy/sanitizers/bromine-vs-chlorine.html,Chlorine v2026.07 Bromine is more stable at high temperatures and more effective in hot tubs.,bromine,2026.07,2026.07,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: bromine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
264,academy/sanitizers/bromine-vs-chlorine.html,"Key Facts Examples Calculator Related Both bromine and chlorine effectively sanitise pool and spa water, but they have different chemistry, costs, and optimal use cases.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
265,academy/sanitizers/bromine-vs-chlorine.html,"Key Facts Bromine is more stable than chlorine at temperatures above 86°F, making it the preferred choice for hot tubs.",bromine,86,86,°f,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: bromine does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
266,academy/sanitizers/bromine-vs-chlorine.html,Bromine cannot be stabilised against UV — outdoor pools in direct sunlight will have very high bromine consumption.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
267,academy/sanitizers/bromine-vs-chlorine.html,Bromine works over a wider pH range (7.0–8.0) than chlorine (7.2–7.6 recommended).,ph,7,8,ph_units,unspecified,CORRECT_EXTRACTION,SUPPORTED,
267,academy/sanitizers/bromine-vs-chlorine.html,Bromine works over a wider pH range (7.0–8.0) than chlorine (7.2–7.6 recommended).,ph,7.2,7.6,ph_units,unspecified,CORRECT_EXTRACTION,SUPPORTED,
268,academy/sanitizers/bromine-vs-chlorine.html,"Once you switch a pool to bromine, switching back to chlorine requires a full drain because residual bromine reacts with chlorine.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
269,academy/sanitizers/bromine-vs-chlorine.html,"How Bromine Works Bromine sanitises water through the formation of hypobromous acid (HOBr), which works similarly to hypochlorous acid in chlorine-treated water.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
270,academy/sanitizers/bromine-vs-chlorine.html,"Unlike chlorine, when bromine reacts with nitrogen compounds from bather waste it forms bromamines, which are actually effective disinfectants — not irritants like chloramines.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
271,academy/sanitizers/bromine-vs-chlorine.html,This means that bromine does not require breakpoint chlorination to restore its effectiveness.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
272,academy/sanitizers/bromine-vs-chlorine.html,"Bromine also remains more effective at higher pH (up to 8.0) compared to chlorine, giving more flexibility in pH management for spas.",ph,8,8,ph_units,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
273,academy/sanitizers/bromine-vs-chlorine.html,"Comparing to Chlorine Chlorine is cheaper per dose, more widely available, and the standard for outdoor pools where UV stabilisation with CYA is practical.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
274,academy/sanitizers/bromine-vs-chlorine.html,"Bromine has no effective UV stabiliser, so outdoor bromine pools require very high product consumption in direct sunlight — often making them cost-prohibitive.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
275,academy/sanitizers/combined-chlorine-explained.html,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
276,academy/sanitizers/combined-chlorine-explained.html,Tablets Shock Treatments Explained Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
277,academy/sanitizers/combined-chlorine-explained.html,Chlorine On This Page Key Facts How Combined Chlorine Forms Measuring Combined Chlorine Eliminating Combined Chlorine Examples Common Mistakes Calculators Pool Shock Calculator Chemical Calculator Sanitizers 5 min read Updated 2026-06-01 Combined Chlorine Explained v2026.07 Combined chlorine is spen…,combined_chlorine,2026.07,2026.07,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
278,academy/sanitizers/combined-chlorine-explained.html,It causes the eye irritation and pool smell that most people mistakenly blame on too much free chlorine.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
279,academy/sanitizers/combined-chlorine-explained.html,Key Facts Examples Calculator Related Combined chlorine (CC) forms when free chlorine reacts with nitrogen compounds from bather waste.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
280,academy/sanitizers/combined-chlorine-explained.html,"Once formed, combined chlorine is a weak disinfectant and a strong irritant.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
281,academy/sanitizers/combined-chlorine-explained.html,Key Facts Combined chlorine above 0.5 ppm is the action threshold — shock treatment is needed.,combined_chlorine,0.5,0.5,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
282,academy/sanitizers/combined-chlorine-explained.html,"The &quot;pool smell&quot; is chloramines, not free chlorine — the problem is too little effective chlorine, not too much.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
283,academy/sanitizers/combined-chlorine-explained.html,Combined chlorine is calculated as: CC = Total Chlorine minus Free Chlorine.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
284,academy/sanitizers/combined-chlorine-explained.html,Shocking to breakpoint destroys combined chlorine by converting it back to inert compounds.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
285,academy/sanitizers/combined-chlorine-explained.html,"How Combined Chlorine Forms Every bather who enters a pool introduces nitrogen-containing compounds: ammonia in sweat and urine, amino acids from skin, and nitrogenous compounds in sunscreen and cosmetics.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
286,academy/sanitizers/combined-chlorine-explained.html,Free chlorine reacts with these compounds to form chloramines (combined chlorine).,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
287,academy/sanitizers/combined-chlorine-explained.html,"The most common pool chloramine is monochloramine (NH2Cl), followed by dichloramine (NHCl2) and nitrogen trichloride (NCl3).",(none),2,2,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
287,academy/sanitizers/combined-chlorine-explained.html,"The most common pool chloramine is monochloramine (NH2Cl), followed by dichloramine (NHCl2) and nitrogen trichloride (NCl3).",(none),2,2,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
287,academy/sanitizers/combined-chlorine-explained.html,"The most common pool chloramine is monochloramine (NH2Cl), followed by dichloramine (NHCl2) and nitrogen trichloride (NCl3).",(none),3,3,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
288,academy/sanitizers/combined-chlorine-explained.html,"All are far less effective as disinfectants than free chlorine, and dichloramine and nitrogen trichloride are the primary sources of the irritating &quot;pool smell.&quot; Measuring Combined Chlorine Combined chlorine is not measured directly — it is calculated.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
289,academy/sanitizers/combined-chlorine-explained.html,A DPD-1 test measures free chlorine; a DPD-3 test (or using DPD-1 plus DPD-3 reagent) measures total chlorine.,free_chlorine,-1,-1,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: free_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
289,academy/sanitizers/combined-chlorine-explained.html,A DPD-1 test measures free chlorine; a DPD-3 test (or using DPD-1 plus DPD-3 reagent) measures total chlorine.,total_chlorine,-3,-3,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: total_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
289,academy/sanitizers/combined-chlorine-explained.html,A DPD-1 test measures free chlorine; a DPD-3 test (or using DPD-1 plus DPD-3 reagent) measures total chlorine.,total_chlorine,-1,-1,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: total_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
289,academy/sanitizers/combined-chlorine-explained.html,A DPD-1 test measures free chlorine; a DPD-3 test (or using DPD-1 plus DPD-3 reagent) measures total chlorine.,total_chlorine,-3,-3,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: total_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
290,academy/sanitizers/index.html,"Sanitizers Sanitizers Chlorine, bromine, salt, and alternative sanitization methods.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
291,academy/sanitizers/index.html,Articles Understanding Free Chlorine Free chlorine is the active disinfectant in your pool.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
292,academy/sanitizers/index.html,"Its effectiveness depends almost entirely on pH — understanding this relationship is the key to efficient chlorine management. 6 min read Combined Chlorine Explained Combined chlorine is spent, ineffective chlorine bound to nitrogen compounds.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
293,academy/sanitizers/index.html,It causes the eye irritation and pool smell that most people mistakenly blame on too much free chlorine. 5 min read Breakpoint Chlorination Breakpoint chlorination destroys combined chlorine by adding free chlorine equal to 10 times the combined chlorine reading.,combined_chlorine,10,10,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: combined_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
294,academy/sanitizers/index.html,This is the only reliable way to eliminate chloramines from a pool. 5 min read Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
295,academy/sanitizers/index.html,Tablets Liquid chlorine raises FC immediately with no side effects on CYA or pH.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
296,academy/sanitizers/index.html,Tablets are convenient but add cyanuric acid with every dose.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
297,academy/sanitizers/index.html,"Understanding the tradeoff helps you choose the right product. 6 min read Shock Treatments Explained Shocking a pool means adding a large chlorine dose to destroy combined chlorine, kill algae, and reset water clarity.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
298,academy/sanitizers/index.html,The type of shock and the timing of application matter significantly. 6 min read Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
299,academy/sanitizers/index.html,Chlorine Bromine is more stable at high temperatures and more effective in hot tubs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
300,academy/sanitizers/liquid-chlorine-vs-tablets.html,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
301,academy/sanitizers/liquid-chlorine-vs-tablets.html,Tablets Shock Treatments Explained Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
302,academy/sanitizers/liquid-chlorine-vs-tablets.html,Chlorine On This Page Key Facts Liquid Chlorine (Sodium Hypochlorite) Chlorine Tablets (Trichlor) Which to Choose Examples Common Mistakes Calculators Pool Chlorine Calculator Pool Cyanuric Acid Calculator Sanitizers 6 min read Updated 2026-06-01 Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
303,academy/sanitizers/liquid-chlorine-vs-tablets.html,Tablets v2026.07 Liquid chlorine raises FC immediately with no side effects on CYA or pH.,free_chlorine,2026.07,2026.07,,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: free_chlorine does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
304,academy/sanitizers/liquid-chlorine-vs-tablets.html,Tablets are convenient but add cyanuric acid with every dose.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
305,academy/sanitizers/liquid-chlorine-vs-tablets.html,Key Facts Liquid chlorine (sodium hypochlorite) is typically 10–12.5% strength and raises pH slightly.,(none),10,12.5,%,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
306,academy/sanitizers/liquid-chlorine-vs-tablets.html,Trichlor tablets are 90% available chlorine but also add cyanuric acid with every dose.,cyanuric_acid,90,90,%,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
307,academy/sanitizers/liquid-chlorine-vs-tablets.html,CYA buildup from tablets can reach 80–100 ppm in a single season without a partial drain.,cyanuric_acid,80,100,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
308,academy/sanitizers/liquid-chlorine-vs-tablets.html,Liquid chlorine is the better choice when CYA is already at or above the target range.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
309,academy/sanitizers/liquid-chlorine-vs-tablets.html,Liquid Chlorine (Sodium Hypochlorite) Liquid chlorine is sold as a 10–12.5% sodium hypochlorite solution.,(none),10,12.5,%,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
310,academy/sanitizers/liquid-chlorine-vs-tablets.html,It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.,ph,0.1,0.2,ph_units,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
311,academy/sanitizers/liquid-chlorine-vs-tablets.html,"Liquid chlorine is the standard choice for regular sanitisation and for shock treatments because it takes effect immediately and has predictable, simple chemistry.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
312,academy/sanitizers/liquid-chlorine-vs-tablets.html,"Chlorine Tablets (Trichlor) Trichlor (trichloroisocyanuric acid) tablets are a convenient, slow-dissolving form of chlorine.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
313,academy/sanitizers/liquid-chlorine-vs-tablets.html,Each tablet contains approximately 90% available chlorine but also contains cyanuric acid as a stabiliser.,cyanuric_acid,90,90,%,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
314,academy/sanitizers/liquid-chlorine-vs-tablets.html,"Every pound of trichlor added to a pool raises CYA by approximately 0.6 ppm for every 10,000 gallons.",cyanuric_acid,0.6,0.6,ppm,pool,CORRECT_EXTRACTION,SUPPORTED,
314,academy/sanitizers/liquid-chlorine-vs-tablets.html,"Every pound of trichlor added to a pool raises CYA by approximately 0.6 ppm for every 10,000 gallons.",pool_volume,10000,10000,gallons,pool,CORRECT_EXTRACTION,AMBIGUOUS,
315,academy/sanitizers/shock-treatments-explained.html,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
316,academy/sanitizers/shock-treatments-explained.html,Tablets Shock Treatments Explained Bromine vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
317,academy/sanitizers/shock-treatments-explained.html,Chlorine On This Page Key Facts Why Pools Need Shocking Types of Shock How to Shock Correctly Examples Common Mistakes Calculators Pool Shock Calculator Hot Tub Shock Calculator Sanitizers 6 min read Updated 2026-06-01 Shock Treatments Explained v2026.07 Shocking a pool means adding a large chlorine…,shock_treatment,2026.07,2026.07,,both,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: shock_treatment does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
318,academy/sanitizers/shock-treatments-explained.html,The type of shock and the timing of application matter significantly.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
319,academy/sanitizers/shock-treatments-explained.html,"Key Facts Examples Calculator Related Pool shock is a high-dose chlorine treatment used to destroy combined chlorine (chloramines), kill algae, and clear turbid water.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
