claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
330,academy/sanitizers/understanding-free-chlorine.html,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
331,academy/sanitizers/understanding-free-chlorine.html,Tablets Shock Treatments Explained Bromine vs.,bromine,unspecified_env/bromine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
332,academy/sanitizers/understanding-free-chlorine.html,Chlorine On This Page Key Facts How Free Chlorine Sanitizes Maintaining the Right Level Free Chlorine vs.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
333,academy/sanitizers/understanding-free-chlorine.html,Combined Chlorine Examples Common Mistakes Calculators Pool Chlorine Calculator Hot Tub Chlorine Calculator Chemical Calculator Sanitizers 6 min read Updated 2026-06-01 Understanding Free Chlorine v2026.07 Free chlorine is the active disinfectant in your pool.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
334,academy/sanitizers/understanding-free-chlorine.html,Its effectiveness depends almost entirely on pH — understanding this relationship is the key to efficient chlorine management.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
335,academy/sanitizers/understanding-free-chlorine.html,"Key Facts Examples Calculator Related Free chlorine (FC) is the measure of active, available disinfectant in pool water.",free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
336,academy/sanitizers/understanding-free-chlorine.html,"It kills bacteria, viruses, and algae on contact.",algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
337,academy/sanitizers/understanding-free-chlorine.html,"However, its killing power is highly pH-dependent, which is why chlorine and pH must be managed together.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
338,academy/sanitizers/understanding-free-chlorine.html,Key Facts Target 1–3 ppm free chlorine for pools; 3–5 ppm for hot tubs.,free_chlorine,hot_tub/chlorine,range-fc-hottub-chlorine-routine,,SUPPORTED,None -- matches a source-backed canonical range.
339,academy/sanitizers/understanding-free-chlorine.html,"At pH 7.2, about 67% of free chlorine is in its most effective form (HOCl).",ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (67-67) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
340,academy/sanitizers/understanding-free-chlorine.html,"At pH 8.0, this drops to 22%.",ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (22-22) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
341,academy/sanitizers/understanding-free-chlorine.html,"Free chlorine is consumed continuously by sunlight, bathers, and organic matter.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
342,academy/sanitizers/understanding-free-chlorine.html,CYA (stabiliser) slows UV depletion but also reduces the active fraction of free chlorine.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
343,academy/sanitizers/understanding-free-chlorine.html,"How Free Chlorine Sanitizes When chlorine is added to pool water, it reacts with water to form hypochlorous acid (HOCl) and hypochlorite ion (OCl-).",free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
344,academy/sanitizers/understanding-free-chlorine.html,The ratio of HOCl to OCl- is determined by pH: lower pH produces more HOCl; higher pH shifts the balance toward less effective OCl-.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
345,academy/testing/common-testing-mistakes.html,Degraded reagents consistently underestimate chlorine and give inaccurate pH readings.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
346,academy/testing/common-testing-mistakes.html,"For any adjustment to alkalinity or pH, allow 4–6 hours before retesting.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
347,academy/testing/common-testing-mistakes.html,Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.,free_chlorine,pool/chlorine,,,REQUIRES_REVIEW,"Numeric value (0.5-0.5) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya) -- flag for the consistency matrix as a possible contradiction candidate."
348,academy/testing/common-testing-mistakes.html,Fresh strips from a newly opened bottle show FC at 2.5 ppm.,free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
349,academy/testing/common-testing-mistakes.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Taylor Technologies — Pool/Spa Water Chemistry Reference Related Calculators & Resources Chemical Calculator Water Test Log Related Topics Using Test Strips Test strips are fast and convenient, but accuracy depends on technique.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
350,academy/testing/digital-pool-testers.html,In This Category Using Test Strips Using Liquid Test Kits Digital Pool Testers How Often to Test Pool Water Understanding Test Results Common Pool Water Testing Mistakes On This Page Key Facts Photometers ORP Probes and pH Meters Maintenance and Calibration Examples Common Mistakes Calculators Chemi…,ph,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
351,academy/testing/digital-pool-testers.html,Photometers read chemical concentrations; ORP probes measure sanitiser activity directly.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
352,academy/testing/digital-pool-testers.html,Key Facts Examples Calculator Related Digital pool testers range from simple pH meters to multi-parameter photometers.,ph,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
353,academy/testing/digital-pool-testers.html,Key Facts Photometers use optical sensors to read reagent colour intensity — more accurate than human colour comparison.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
354,academy/testing/digital-pool-testers.html,"ORP (oxidation-reduction potential) meters measure the oxidising power of the water, not chlorine concentration. pH probes must be calibrated with buffer solution before each use to maintain accuracy.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
355,academy/testing/digital-pool-testers.html,Photometers A photometer (colorimeter) uses an LED light and sensor to measure the absorbance of light through a water sample treated with a reagent.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
356,academy/testing/digital-pool-testers.html,"Popular models like the Hanna Instruments HI83303 test free chlorine, combined chlorine, total chlorine, pH, TA, and hardness using pre-filled reagent sachets or liquid reagents.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
357,academy/testing/digital-pool-testers.html,Results are displayed as numeric ppm values.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
358,academy/testing/digital-pool-testers.html,Photometers are ideal for pool professionals and homeowners who test frequently and want reliable consistency.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
359,academy/testing/digital-pool-testers.html,ORP Probes and pH Meters ORP (oxidation-reduction potential) is a millivolt reading that indicates the overall oxidising power of the water.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
360,academy/testing/digital-pool-testers.html,ORP is not a direct measure of chlorine concentration — the same free chlorine level produces different ORP readings at different pH values. pH combination meters (measuring both pH and ORP simultaneously) are widely used by pool professionals for quick in-water diagnostics.,ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
361,academy/testing/digital-pool-testers.html,Maintenance and Calibration All digital testers require maintenance. pH probes must be stored in storage solution (not water or dry) and calibrated with two-point buffer solution before use.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
362,academy/testing/digital-pool-testers.html,ORP probes require soaking in ORP standard solution periodically.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
363,academy/testing/digital-pool-testers.html,Photometer cuvettes must be kept scrupulously clean — a single fingerprint on the optical path will corrupt readings.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
364,academy/testing/digital-pool-testers.html,Examples When to Use a Photometer vs.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
365,academy/testing/how-often-to-test-water.html,In This Category Using Test Strips Using Liquid Test Kits Digital Pool Testers How Often to Test Pool Water Understanding Test Results Common Pool Water Testing Mistakes On This Page Key Facts Pool Testing Schedule Hot Tub Testing Triggers for Extra Testing Examples Common Mistakes Calculators Chemi…,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
366,academy/testing/how-often-to-test-water.html,Free chlorine and pH need the most frequent attention; hardness and CYA can be tested monthly.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
367,academy/testing/how-often-to-test-water.html,"Key Facts Free chlorine: test twice per week in summer, once per week in cooler months. pH: test every time you test chlorine — they are managed together.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
368,academy/testing/how-often-to-test-water.html,"Total alkalinity: test weekly when new, then monthly once stable.",total_alkalinity,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
369,academy/testing/how-often-to-test-water.html,Hot tubs: test before every soak and again the following morning.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
370,academy/testing/how-often-to-test-water.html,"Pool Testing Schedule For a residential pool during the summer swimming season, the minimum recommended schedule is: free chlorine and pH twice per week; total alkalinity and calcium hardness once per month; cyanuric acid at the start of the season and then monthly if using stabilised tablets.",ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
371,academy/testing/how-often-to-test-water.html,"After every heavy rain, increase the frequency for chlorine and pH to daily until readings stabilise.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
372,academy/testing/how-often-to-test-water.html,"After a large bather load (pool party), test the following morning and add shock if combined chlorine is above 0.5 ppm.",combined_chlorine,pool/chlorine,,,REQUIRES_REVIEW,Numeric value (0.5-0.5) does not overlap any canonical range for combined_chlorine in this context (closest candidates: range-cc-pool-hottub-max) -- flag for the consistency matrix as a possible contradiction candidate.
373,academy/testing/how-often-to-test-water.html,"Hot Tub Testing Hot tub water chemistry changes far faster than pool chemistry due to smaller volume, higher temperature, and concentrated bather load.",water_temperature,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
374,academy/testing/how-often-to-test-water.html,Test free chlorine and pH before every soak session and again 30 minutes after the session to see how much the chemistry changed.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
375,academy/testing/how-often-to-test-water.html,"For hot tubs used by multiple people daily (vacation rentals, short-term rental properties), test morning and evening.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
376,academy/testing/how-often-to-test-water.html,"Triggers for Extra Testing Test immediately after: a large storm or heavy rainfall (which dilutes and unbalances chemistry); a pool party or unusually high bather load; addition of any chemical (to verify the adjustment worked); visible water clarity changes (cloudiness, colour changes); green or bl…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
377,academy/testing/how-often-to-test-water.html,"Examples Building a Simple Weekly Schedule Monday and Thursday evening: test FC and pH, adjust if needed.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
378,academy/testing/how-often-to-test-water.html,"First Monday of each month: full test (FC, TC, CC, pH, TA, hardness, CYA).",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
379,academy/testing/how-often-to-test-water.html,After any heavy rain: test FC and pH within 24 hours.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
380,academy/testing/index.html,The DPD method measures free chlorine directly; the OTO method measures total chlorine.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
381,academy/testing/index.html,Photometers read chemical concentrations; ORP probes measure sanitiser activity directly.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
382,academy/testing/index.html,Free chlorine and pH need the most frequent attention; hardness and CYA can be tested monthly. 4 min read Understanding Test Results Test numbers only help if you know what action they require.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
383,academy/testing/understanding-test-results.html,In This Category Using Test Strips Using Liquid Test Kits Digital Pool Testers How Often to Test Pool Water Understanding Test Results Common Pool Water Testing Mistakes On This Page Key Facts Reading the Numbers Prioritising Adjustments When Results Look Strange Examples Common Mistakes Calculators…,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
384,academy/testing/understanding-test-results.html,"Key Facts Always prioritise alkalinity first, then pH, then chlorine — the order of adjustment matters.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
385,academy/testing/understanding-test-results.html,Free chlorine below 1.0 ppm is an immediate action item regardless of other readings.,free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
386,academy/testing/understanding-test-results.html,A result at 7.5 on a pH scale that targets 7.2–7.6 is fine.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
387,academy/testing/understanding-test-results.html,A result of 0.5 ppm for free chlorine that targets 1.0–3.0 ppm requires action.,free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
388,academy/testing/understanding-test-results.html,The magnitude of deviation matters — free chlorine at 0.9 ppm is borderline; free chlorine at 0 ppm requires immediate treatment.,free_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (0.9-0.9) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
389,academy/testing/understanding-test-results.html,"For parameters like CYA and calcium hardness, a reading slightly outside the ideal range is not an emergency — they change slowly and can be addressed at the next scheduled maintenance.",calcium_hardness,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
390,academy/testing/understanding-test-results.html,"Prioritising Adjustments When multiple parameters are out of range, follow the adjustment order: 1) Total alkalinity (it stabilises everything else). 2) pH (wait 4 hours after adjusting TA before testing and adjusting pH). 3) Free chlorine (ineffective until pH is in range). 4) Calcium hardness. 5) …",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
391,academy/testing/understanding-test-results.html,"This order is important because adjusting alkalinity changes pH, and adjusting pH changes how effective your chlorine additions will be.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
392,academy/testing/understanding-test-results.html,When Results Look Strange If a test result seems impossible — such as zero free chlorine the day after a full shock dose — consider a sampling or testing error first.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
393,academy/testing/understanding-test-results.html,"If the result is confirmed, look for contributing factors: Was the shock added during the day?",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
394,academy/testing/understanding-test-results.html,"Is pH very high (above 8.0), making chlorine nearly inactive?",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
395,academy/testing/understanding-test-results.html,"Is CYA above 100 ppm, causing a &quot;chlorine lock&quot;?",cyanuric_acid,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (100-100) does not overlap any canonical range for cyanuric_acid in this context (closest candidates: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-hottub) -- flag for the consistency matrix as a possible contradiction candidate."
396,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (0.5-0.5) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
397,academy/testing/understanding-test-results.html,Start with alkalinity: raise TA to 90 ppm using sodium bicarbonate.,total_alkalinity,unspecified_env/unspecified_sanitizer,range-ta-public-pool-standard,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
398,academy/testing/using-liquid-test-kits.html,The DPD method measures free chlorine directly; the OTO method measures total chlorine.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
399,academy/testing/using-liquid-test-kits.html,Key Facts DPD reagents measure free chlorine directly — use these for accurate chlorine testing.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
400,academy/testing/using-liquid-test-kits.html,"OTO (orthotolidine) measures total chlorine, not free chlorine — it cannot distinguish between active and combined chlorine.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
401,academy/testing/using-liquid-test-kits.html,It measures total chlorine — the combined value of free and combined chlorine.,combined_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
402,academy/testing/using-liquid-test-kits.html,"DPD (N,N-diethyl-p-phenylenediamine) produces a red/pink colour specifically with free chlorine (DPD-1) and can be extended with a second reagent to measure total chlorine (DPD-3), allowing calculation of combined chlorine.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
403,academy/testing/using-liquid-test-kits.html,Always use DPD reagents for meaningful free chlorine measurements.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
404,academy/testing/using-liquid-test-kits.html,Repeat with DPD-3 for total chlorine if needed.,total_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
405,academy/testing/using-liquid-test-kits.html,"For pH, use the phenol red reagent in the same way.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
406,academy/testing/using-liquid-test-kits.html,"Store in a cool, dark place away from pool chemicals, chlorine vapour, and extreme temperatures.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
407,academy/testing/using-liquid-test-kits.html,"The Taylor Technologies K-2006 includes reagents for FC, TC, CC, pH, TA, calcium hardness, and CYA — a complete set for comprehensive water testing.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
408,academy/testing/using-liquid-test-kits.html,Combined Chlorine The pool smells like a public pool after a weekend of heavy use.,combined_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
409,academy/testing/using-liquid-test-kits.html,Test: DPD-1 (free chlorine) shows 2.0 ppm (pink).,free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
410,academy/testing/using-liquid-test-kits.html,DPD-3 (total chlorine) shows 3.5 ppm (deeper pink).,total_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,No canonical range exists yet for total_chlorine in context unspecified_env/chlorine; needs dedicated research in a future phase.
411,academy/testing/using-liquid-test-kits.html,Combined chlorine = 3.5 - 2.0 = 1.5 ppm.,combined_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,Numeric value (3.5-2) does not overlap any canonical range for combined_chlorine in this context (closest candidates: range-cc-pool-hottub-max) -- flag for the consistency matrix as a possible contradiction candidate.
412,academy/testing/using-liquid-test-kits.html,That is three times the 0.5 ppm action threshold.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
413,academy/testing/using-test-strips.html,"Store strips away from heat, humidity, and direct sunlight to prevent reagent degradation.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
414,academy/testing/using-test-strips.html,"Premium 7-in-1 strips test: FC, TC, pH, TA, hardness, CYA, and bromine.",ph,unspecified_env/bromine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
415,academy/testing/using-test-strips.html,"The chemistry is similar to liquid test kits but pre-dosed and dried onto the pad, which makes them faster but slightly less precise — especially for measurements near the boundaries of acceptable ranges.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
416,academy/testing/using-test-strips.html,"For parameters where precision matters most (free chlorine, CYA), verify strip readings with a liquid DPD test kit at least once per month.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
417,academy/testing/using-test-strips.html,They add a full shock dose.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
418,academy/testing/using-test-strips.html,Re-testing with a liquid kit the next morning shows FC at 8 ppm — dangerous for swimming.,free_chlorine,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (8-8) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
419,academy/testing/using-test-strips.html,"Storing strips in a humid area (poolside, bathroom) where the desiccant cannot protect them.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
420,academy/testing/using-test-strips.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Taylor Technologies — Pool/Spa Water Chemistry Reference Related Calculators & Resources Chemical Calculator Water Test Log Related Topics Using Liquid Test Kits Liquid test kits are more accurate than test strips.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
421,academy/troubleshooting/cloudy-water.html,"Cloudy Water problem Water that lacks clarity due to suspended particles, chemical imbalance, or filtration issues.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
422,academy/troubleshooting/cloudy-water.html,Calculators Pool Chlorine Calculator Pool Shock Calculator Pool pH Calculator Related Free Chlorine pH Total Alkalinity Calcium Hardness Filtration Algae Full entity details → In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs: Causes and Soluti…,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
423,academy/troubleshooting/cloudy-water.html,"Key Facts The four causes of cloudy water: low sanitiser, high pH, filtration failure, and algae bloom in early stages.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
424,academy/troubleshooting/cloudy-water.html,"Test free chlorine, pH, and combined chlorine first — chemistry problems account for most cloudiness.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
425,academy/troubleshooting/cloudy-water.html,Never add clarifier during or immediately after a shock treatment — it interferes with the chlorine dose.,shock_treatment,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
426,academy/troubleshooting/cloudy-water.html,Diagnosing Cloudy Water Step 1: Run a complete water test.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
427,academy/troubleshooting/cloudy-water.html,"Cloudy water from chemistry problems shows low free chlorine (below 1 ppm), high pH (above 7.8), or both.",ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (1-1) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
428,academy/troubleshooting/cloudy-water.html,A greenish tint indicates early algae.,algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
