entity_id,slug,page_url,longDescription,description_length,claim_count,chemistry_claim_count,non_chemistry_claim_count,sourceOrganizations,existing_claim_family,existing_source_registry_ids,review_status
"green-water","green-water","https://waterbalancetools.com/entities/green-water","Green pool water is almost always caused by an algae bloom — typically green algae — resulting from insufficient free chlorine. Contributing factors include CYA too high (reducing chlorine effectiveness), missed shock treatments, heavy rain (diluting chlorine), extended periods without service, or pump failure. Treatment involves lowering pH to 7.2 to maximize chlorine activity, brushing all surfaces, shocking to 30 ppm FC, and running the filter 24 hours. The water may turn grey as algae dies, then clear over 24–72 hours as the dead algae is filtered out.","562","4","4","0","phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","PHASE_7J_AUDITED"
"foaming","foaming","https://waterbalancetools.com/entities/foaming","Foam on pool or hot tub water is caused by surfactants — substances that lower water surface tension. Common sources include body oils, lotions, soap residue on swimwear, certain algaecides (polyquats), and high TDS. In hot tubs, foaming is more common due to smaller water volumes and higher bather loads. Mild foaming can be treated with an anti-foam agent as a temporary fix, but the underlying cause must be addressed: rinsing swimwear without soap, showering before entering, reducing algaecide dose, or changing the water if TDS is very high.","548","4","2","2","","","","PHASE_7J_AUDITED"
"scaling","scaling","https://waterbalancetools.com/entities/scaling","Scaling is the precipitation of calcium carbonate and other minerals onto pool surfaces, tile lines, plumbing, and equipment. It is caused by over-saturated water (positive LSI), which occurs when pH, calcium hardness, alkalinity, or temperature is too high. Scale deposits are hard and difficult to remove — prevention is far easier than remediation. Treatment requires lowering the LSI by adjusting pH, alkalinity, and calcium hardness. Existing scale can be removed with acid washing or mechanical removal, but this should be done by a professional to avoid surface damage.","576","5","4","1","phta","","","PHASE_7J_AUDITED"
"corrosion","corrosion","https://waterbalancetools.com/entities/corrosion","Corrosion occurs when pool water is under-saturated with calcium carbonate (negative LSI), causing it to aggressively dissolve calcium from plaster, grout, and metal surfaces. Visible signs include pitting of plaster surfaces, etching of tile grout, staining from dissolved metals (green from copper, rust from iron), and corrosion of metal fittings. Contributing factors include low pH, low alkalinity, low calcium hardness, and high water temperature. Treatment involves raising the LSI by adjusting the relevant parameters. Ongoing corrosion from a heater indicates the LSI needs attention immediately.","605","5","5","0","phta","","","PHASE_7J_AUDITED"
"algae","algae","https://waterbalancetools.com/entities/algae","Algae are plant-like microorganisms that grow in pool water when free chlorine drops below effective levels. Green algae is the most common and easiest to treat. Mustard (yellow) algae is more resistant and requires more aggressive treatment. Black algae develops deep root structures that penetrate pool surfaces, making it the most difficult to eradicate. Algae growth is fueled by nutrients (especially phosphates), warm water, sunlight, and insufficient chlorine. Prevention requires maintaining adequate free chlorine relative to CYA level at all times.","558","6","4","2","phta","","","PHASE_7J_AUDITED"
"strong-chlorine-smell","strong-chlorine-smell","https://waterbalancetools.com/entities/strong-chlorine-smell","The ""strong chlorine smell"" associated with pools is not caused by too much free chlorine — it is caused by combined chlorine (chloramines). When free chlorine reacts with nitrogen compounds from bathers (urea, ammonia, amino acids), it forms chloramines that have a strong, distinctive odor and are irritating to eyes and respiratory tract. Paradoxically, the solution is to add MORE chlorine (breakpoint chlorination) to destroy the chloramines, not less. A well-maintained pool with low combined chlorine should have little to no chlorine smell.","548","4","4","0","phta;cdc","","","PHASE_7J_AUDITED"
"eye-irritation","eye-irritation","https://waterbalancetools.com/entities/eye-irritation","Eye irritation from pool water is most commonly caused by chloramines (combined chlorine) or pH outside the 7.2–7.8 range. Human tears have a pH of approximately 7.4 — water at the same pH is least irritating to eyes. At lower pH, the water is acidic and irritating; at higher pH, chlorine effectiveness drops and chloramines accumulate. The fix for chloramine-induced eye irritation is breakpoint chlorination. The fix for pH-related eye irritation is adjusting pH to 7.2–7.6.","477","5","5","0","cdc;phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"skin-irritation","skin-irritation","https://waterbalancetools.com/entities/skin-irritation","Skin irritation after pool or hot tub use can result from pH too far outside the neutral range (below 7.0 or above 8.0), high combined chlorine (chloramines), very high free chlorine (above 5 ppm), high bromine (above 10 ppm), or individual sensitivity to pool chemicals. In hot tubs, the combination of warm water and concentrated chemicals increases sensitivity. Rinsing with fresh water immediately after exiting the pool significantly reduces chemical exposure. Persistent skin irritation despite normal chemistry may indicate individual chemical sensitivity.","563","4","2","2","cdc;phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-hottub-chlorine-routine;range-bromine-hottub-routine","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-hottub-chlorine-routine;range-bromine-hottub-routine","PHASE_7J_AUDITED"
"low-chlorine","low-chlorine","https://waterbalancetools.com/entities/low-chlorine","Low free chlorine is the single most common and dangerous pool chemistry problem. When FC drops below the minimum for the current CYA level, the pool loses its primary protection against pathogens and algae. Causes include: heavy bather loads, hot sunny weather (UV degradation), CYA too high (reducing chlorine activity), insufficient dosing frequency, or empty chlorinator. The remedy is immediate addition of chlorine to restore FC to the target range. If CYA is above 80 ppm, a partial drain may be needed before chlorine can be maintained effectively.","556","5","5","0","phta;cdc","range-cya-saltwater-outdoor","range-cya-saltwater-outdoor","PHASE_7J_AUDITED"
"high-chlorine","high-chlorine","https://waterbalancetools.com/entities/high-chlorine","High free chlorine (above 5 ppm) causes bleaching of swimwear, eye and skin irritation, and respiratory irritation in enclosed spaces. It occurs after an accidental over-dose, feeder malfunction, or over-shocking. The pool should be closed to swimmers until FC drops below 5 ppm (3 ppm for hot tubs). Natural dissipation by sunlight and time is the safest remedy. Sodium thiosulfate can neutralize chlorine in emergencies but should be used sparingly — reducing FC too quickly can cause a rebound. Running the pump without cover during daylight hours accelerates UV degradation of excess chlorine.","597","6","6","0","phta","range-fc-hottub-chlorine-routine;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya","range-fc-hottub-chlorine-routine;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya","PHASE_7J_AUDITED"
"low-ph","low-ph","https://waterbalancetools.com/entities/low-ph","Low pH (below 7.2) makes pool water corrosive and irritating. Effects include: etching of plaster and grout surfaces, staining from dissolved metals, corrosion of metal equipment and fittings, eye and skin irritation, and degradation of seals and gaskets. Low pH is commonly caused by adding too much acid, CO₂ from bather respiration, heavy rain (which is naturally acidic), and naturally acidic fill water. Treatment involves adding soda ash (sodium carbonate) to raise pH, after first verifying alkalinity is in range.","521","4","4","0","phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"high-ph","high-ph","https://waterbalancetools.com/entities/high-ph","High pH (above 7.8) significantly reduces free chlorine effectiveness — at pH 8.0, only 22% of FC is in the active HOCl form (compared to 67% at pH 7.2). High pH also promotes scaling (high positive LSI), causes eye irritation through a different mechanism than low pH, and can cause white cloudiness from calcium carbonate precipitation. High pH commonly results from adding too much soda ash, sodium bicarbonate increasing pH as a side effect, CO₂ off-gassing from aeration (waterfalls, jets), and some source water. Treatment involves adding muriatic acid (hydrochloric acid) or dry acid (sodium bisulfate).","610","4","4","0","phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","PHASE_7J_AUDITED"
"swimming-pool","swimming-pool","https://waterbalancetools.com/entities/swimming-pool","A swimming pool is any artificial basin filled with water for swimming, wading, or exercise. Pools range from small above-ground models to large in-ground installations. Standard pool chemistry applies to all pool types, with adjustments for surface material, volume, and usage pattern. Most residential pools hold 10,000–30,000 gallons and require weekly chemical maintenance.","377","4","2","2","phta","","","PHASE_7J_AUDITED"
"saltwater-pool","saltwater-pool","https://waterbalancetools.com/entities/saltwater-pool","A saltwater pool is a chlorine pool that generates its own chlorine using a salt chlorinator (SWCG). The pool still contains and uses chlorine — the salt content (typically 3,000–3,200 ppm) is far lower than ocean water (35,000 ppm) and is often described as similar to natural tears. Salt pools still require the same chemistry balancing (pH, alkalinity, calcium, CYA) as traditionally chlorinated pools. Key differences include higher CYA requirements (60–80 ppm), consistent monitoring of the salt cell, and the risk of calcium scaling on the cell at low LSI.","562","4","4","0","phta","range-salt-generic-operating;range-salt-pentair;range-salt-autopilot;range-cya-saltwater-outdoor","range-salt-generic-operating;range-salt-pentair;range-salt-autopilot;range-cya-saltwater-outdoor","PHASE_7J_AUDITED"
"indoor-pool","indoor-pool","https://waterbalancetools.com/entities/indoor-pool","Indoor pools present unique challenges: without UV light, chlorine is not degraded and CYA is not needed (and is actually counterproductive in indoor settings). However, chloramines accumulate more noticeably because there is less air movement. Ventilation is critical — pool rooms must exchange air continuously to remove chloramine vapors and prevent moisture damage to the structure. pH tends to rise in indoor pools due to CO₂ off-gassing into enclosed air. Cyanuric acid should not be used in indoor pools.","511","5","4","1","phta;cdc","","","PHASE_7J_AUDITED"
"outdoor-pool","outdoor-pool","https://waterbalancetools.com/entities/outdoor-pool","Outdoor pools are exposed to UV light that rapidly degrades free chlorine. Cyanuric acid (CYA) is essential for stabilizing chlorine in outdoor pools — without it, sunlight can destroy the chlorine within 30–60 minutes. Outdoor pools also experience chemistry changes from rainfall, temperature variation, and seasonal sun intensity. Summer requires more frequent chlorine dosing due to both UV degradation and higher bather loads.","431","4","3","1","phta","","","PHASE_7J_AUDITED"
"hot-tub","hot-tub","https://waterbalancetools.com/entities/hot-tub","A hot tub (spa) is a small, heated body of water — typically 75–500 gallons — used for soaking, relaxation, and hydrotherapy. The chemistry challenges are significant: high water temperature accelerates chemical reactions and chlorine demand; small volume means even one bather produces a significant bather load relative to total water; the high bather-to-water ratio causes rapid chemistry changes. Hot tub water should be tested before every soak session and changed every 3–4 months under typical use.","505","3","3","0","phta","","","PHASE_7J_AUDITED"
"swim-spa","swim-spa","https://waterbalancetools.com/entities/swim-spa","A swim spa combines the exercise function of a lap pool with the hydrotherapy features of a hot tub. Typically 12–20 feet long and holding 1,000–2,000 gallons, swim spas have a jet system that creates a current for swimming in place. Chemistry management is similar to hot tubs but with a larger water volume, reducing the impact of bather load. Many swim spas have separate hot tub and swim sections with separate chemistry.","425","4","1","3","phta","","","PHASE_7J_AUDITED"
"commercial-pool","commercial-pool","https://waterbalancetools.com/entities/commercial-pool","Commercial pools (public pools, hotel pools, club pools) are subject to state and local health department regulations that typically require stricter chemistry standards than residential pools — often a maximum 6-hour or even 4-hour turnover rate, specific free chlorine and pH ranges, mandatory ORP monitoring, and documented chemical logs. Commercial operations also require trained operators and regular third-party inspections. The principles are identical to residential pool care but standards are higher and enforcement is regulatory.","541","3","1","2","phta;cdc;epa","","","PHASE_7J_AUDITED"
"vinyl-pool","vinyl-pool","https://waterbalancetools.com/entities/vinyl-pool","Vinyl liner pools have a flexible PVC liner as the pool surface. They require lower calcium hardness (150–250 ppm) than plaster pools because the liner itself does not dissolve calcium. Low calcium is less of a concern for vinyl pools from a surface damage perspective, but very aggressive water can still attack metal parts and fittings. Vinyl liners can be bleached by direct contact with undissolved granular chemicals — always pre-dissolve shock and calcium chloride before adding. Liners typically last 8–15 years before replacement.","538","5","5","0","phta","range-ch-public-pool-standard;range-ch-residential-practical","range-ch-public-pool-standard;range-ch-residential-practical","PHASE_7J_AUDITED"
"fiberglass-pool","fiberglass-pool","https://waterbalancetools.com/entities/fiberglass-pool","Fiberglass pools have a smooth, non-porous fiberglass surface that is inherently resistant to algae (fewer attachment points) and requires less maintenance than plaster pools. Calcium hardness targets are lower (150–250 ppm) than plaster pools. Very low calcium in aggressive water can leach the gelcoat surface over time. The smooth surface also means less chemical demand overall. Fiberglass pools cannot be refinished in the same way as plaster, so maintaining proper water chemistry to protect the surface is especially important.","534","5","5","0","phta","range-ch-public-pool-standard;range-ch-residential-practical","range-ch-public-pool-standard;range-ch-residential-practical","PHASE_7J_AUDITED"
"concrete-pool","concrete-pool","https://waterbalancetools.com/entities/concrete-pool","Concrete pools (gunite or shotcrete) have a plaster, aggregate (pebble), or tile surface applied over a concrete shell. These surfaces are porous and contain calcium — aggressive water (low LSI) actively dissolves calcium from the surface, causing etching, pitting, and roughness. Calcium hardness must be maintained at 200–400 ppm for plaster pools to prevent surface damage. Concrete pools are durable and highly customizable but require more careful chemistry management than vinyl or fiberglass pools.","505","4","4","0","phta","range-ch-public-pool-standard;range-ch-residential-practical","range-ch-public-pool-standard;range-ch-residential-practical","PHASE_7J_AUDITED"
"liquid-chlorine","liquid-chlorine","https://waterbalancetools.com/entities/liquid-chlorine","Liquid chlorine is sodium hypochlorite (NaOCl) solution, typically sold at 10–12.5% available chlorine for pool use (compared to 5–8.25% for household bleach). It is the most widely used chlorine product for pool maintenance: fast-dissolving, no residue, does not raise calcium or CYA, and relatively inexpensive. Degradation: liquid chlorine loses approximately 20–30% potency within 60 days at room temperature and significantly faster in heat. Always buy fresh product and check the manufacture date.","503","4","4","0","phta","","","PHASE_7J_AUDITED"
"calcium-hypochlorite","calcium-hypochlorite","https://waterbalancetools.com/entities/calcium-hypochlorite","Calcium hypochlorite (cal-hypo) is a dry granular or tablet chlorine compound available at 65% and 73% available chlorine — the most concentrated of common pool shock products. It raises free chlorine rapidly and is the preferred product for breakpoint chlorination and algae recovery. Unlike trichlor and dichlor, it does not add CYA. However, it does add calcium — relevant in pools with already high calcium hardness. Must be pre-dissolved in water before adding to the pool; direct application can bleach liners and damage surfaces.","536","5","5","0","phta;taylor-technologies","","","PHASE_7J_AUDITED"
"sodium-dichlor","sodium-dichlor","https://waterbalancetools.com/entities/sodium-dichlor","Sodium dichloro-s-triazinetrione (dichlor) is a stabilized granular chlorine compound containing approximately 56–62% available chlorine and 57% CYA by weight. It dissolves quickly and is convenient for pool shocking, but each pound added raises CYA by approximately 6–7 ppm per 10,000 gallons. Regular use as a shock product will accumulate CYA rapidly. Best used sparingly when CYA needs to be raised simultaneously with chlorine at season opening or after a significant drain. Not recommended for routine shocking because of CYA accumulation.","545","5","5","0","phta","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub","PHASE_7J_AUDITED"
"trichlor-tablets","trichlor-tablets","https://waterbalancetools.com/entities/trichlor-tablets","Trichloro-s-triazinetrione (trichlor) tablets contain approximately 90% available chlorine and 58% CYA by weight. They dissolve slowly and are used in automatic chlorinators, floaters, and skimmer baskets for consistent baseline chlorination. Very acidic (pH ~2.9) — repeated use will lower pool pH and alkalinity over time. CYA accumulation from trichlor is the most common cause of high CYA in residential pools. Should not be mixed with calcium hypochlorite — fire and explosion risk.","487","5","5","0","phta","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub;range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub;range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"muriatic-acid","muriatic-acid","https://waterbalancetools.com/entities/muriatic-acid","Muriatic acid (hydrochloric acid, HCl) at 31.45% concentration is the standard product for lowering pH and total alkalinity in pools. It reacts quickly and is highly effective but requires careful handling — it is strongly corrosive and produces acidic vapors. Always add acid to water (not water to acid), pre-dilute in a bucket of pool water, and add near return jets with pump running. Dry acid (sodium bisulfate) is a safer-handling alternative that produces the same chemistry result. Store in original container away from chlorine products.","546","5","5","0","phta","","","PHASE_7J_AUDITED"
"soda-ash","soda-ash","https://waterbalancetools.com/entities/soda-ash","Soda ash (sodium carbonate, Na₂CO₃) is the standard product for raising pH in pool water. Unlike sodium bicarbonate, soda ash primarily raises pH with a modest effect on alkalinity. Pre-dissolve in a bucket of water before adding to prevent white cloudiness in the pool. Typical dose: 6 oz raises pH by 0.2 in a 10,000-gallon pool. Too much soda ash can cause temporary cloudiness from calcium carbonate precipitation.","418","5","5","0","phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"baking-soda","baking-soda","https://waterbalancetools.com/entities/baking-soda","Sodium bicarbonate (NaHCO₃), commonly called baking soda, is the standard product for raising total alkalinity in pool water. It raises TA with a modest, predictable pH increase (typically 0.1–0.2 pH units for a standard dose). 1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm. Pre-dissolve in a bucket of pool water before broadcasting around the pool perimeter. Pool-grade sodium bicarbonate is identical in chemistry to food-grade baking soda but is sold in larger quantities.","491","5","3","2","phta","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-ta-public-pool-standard;range-ta-residential-practical;range-ta-hottub","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational;range-ta-public-pool-standard;range-ta-residential-practical;range-ta-hottub","PHASE_7J_AUDITED"
"calcium-chloride","calcium-chloride","https://waterbalancetools.com/entities/calcium-chloride","Calcium chloride (CaCl₂) is the chemical used to raise calcium hardness in pool water. It dissolves exothermically (generates heat) — always pre-dissolve in a large bucket of water before adding to the pool, or add very slowly near a return jet. Allow 4–6 hours for full distribution before retesting. 12 oz raises calcium hardness by approximately 10 ppm in a 10,000-gallon pool. Calcium hardness can only be lowered by partial drain and refill — there is no chemical that removes calcium from pool water.","506","5","4","1","phta","range-ch-public-pool-standard;range-ch-residential-practical","range-ch-public-pool-standard;range-ch-residential-practical","PHASE_7J_AUDITED"
"stabilizer","stabilizer","https://waterbalancetools.com/entities/stabilizer","Pool stabilizer (cyanuric acid granules) is added to outdoor pools at the start of the season to raise CYA to the target range (30–50 ppm for standard pools, 60–80 ppm for salt pools). It dissolves slowly — place in a nylon sock and hang in front of a return jet, or pre-dissolve in warm water. Allow 24–48 hours before retesting. Never add to an indoor pool or covered spa. Stabilizer is also added gradually by routine use of trichlor tablets.","445","5","3","2","phta","range-cya-residential-routine-outdoor;range-salt-generic-operating;range-salt-pentair;range-salt-autopilot","range-cya-residential-routine-outdoor;range-salt-generic-operating;range-salt-pentair;range-salt-autopilot","PHASE_7J_AUDITED"
"pool-salt","pool-salt","https://waterbalancetools.com/entities/pool-salt","Pool salt is 99.8%+ pure sodium chloride (NaCl) sold specifically for use in saltwater pool systems. It must be free of additives (no anti-caking agents, iodide, or ferrocyanide) that can stain pools and damage salt cells. Sold in 40-lb bags; a typical 20,000-gallon pool requires 350–400 lbs to reach the target 3,200 ppm from zero. Salt does not evaporate and only needs replacement after significant water loss.","414","4","4","0","phta","range-salt-generic-operating;range-salt-pentair;range-salt-autopilot","range-salt-generic-operating;range-salt-pentair;range-salt-autopilot","PHASE_7J_AUDITED"
"cdc","cdc","https://waterbalancetools.com/entities/cdc","The CDC provides guidelines on healthy swimming, recreational water illness prevention, disinfection standards for public pools and water parks, and outbreak reporting. Their Model Aquatic Health Code (MAHC) provides science-based guidance used as the basis for many state pool health codes.","291","2","2","0","","","","PHASE_7J_AUDITED"
"epa","epa","https://waterbalancetools.com/entities/epa","The EPA regulates the registration, labeling, and use of pesticides and disinfectants in the United States under FIFRA (Federal Insecticide, Fungicide, and Rodenticide Act). Pool disinfectants — including chlorine products, bromine products, and algaecides — are regulated as pesticides by the EPA. EPA registration numbers on pool chemical labels confirm federal approval.","373","3","2","1","","","","PHASE_7J_AUDITED"
"phta","phta","https://waterbalancetools.com/entities/phta","The Pool & Hot Tub Alliance (formerly APSP) is the primary trade association for pool and spa manufacturers, builders, service technicians, and retailers. PHTA publishes the Pool & Spa Operator Handbook (the industry standard reference for pool chemistry) and the ANSI standards for pool design, construction, and safety. PHTA certifications (CPO, ATP) are the recognized professional credentials in the pool industry.","418","3","2","1","","","","PHASE_7J_AUDITED"
"nsf","nsf","https://waterbalancetools.com/entities/nsf","NSF International develops public health standards and certifies products including pool equipment, water treatment products, and chemicals. NSF/ANSI 50 covers pool and spa equipment and chemicals. NSF certification marks on pool products indicate independent verification of performance and safety claims.","306","3","1","2","","","","PHASE_7J_AUDITED"
"taylor-technologies","taylor-technologies","https://waterbalancetools.com/entities/taylor-technologies","Taylor Technologies is the leading manufacturer of professional pool and spa water test kits (the Taylor K-2006 is the gold-standard residential test kit) and the publisher of the Pool/Spa Water Chemistry book, which is the definitive technical reference for pool chemistry calculations, LSI factors, and treatment formulas. Taylor LSI factor tables and formulas are used as the basis for LSI calculations throughout the industry.","430","2","2","0","","","","PHASE_7J_AUDITED"
"lamotte","lamotte","https://waterbalancetools.com/entities/lamotte","LaMotte Company manufactures professional-grade water testing equipment including DPD colorimetric test kits, digital photometers, and test strips for pool and spa use. LaMotte products are widely used by commercial pool operators and certified pool operators for their higher accuracy compared to consumer test strips.","319","2","2","0","","","","PHASE_7J_AUDITED"
"unit-ppm","unit-ppm","https://waterbalancetools.com/entities/unit-ppm","1 ppm = 1 mg/L = 1 part chemical per 1,000,000 parts water. Used for free chlorine, combined chlorine, alkalinity, calcium hardness, CYA, TDS, salt, metals, and phosphates.","172","2","2","0","","","","PHASE_7J_AUDITED"
"unit-mg-l","unit-mg-l","https://waterbalancetools.com/entities/unit-mg-l","In dilute aqueous solutions (including pool water), mg/L and ppm are numerically equal: 1 mg/L = 1 ppm. mg/L is the SI unit preferred in scientific contexts, while ppm is the practical shorthand used in pool industry applications.","230","2","2","0","","","","PHASE_7J_AUDITED"
"unit-gallons","unit-gallons","https://waterbalancetools.com/entities/unit-gallons","1 US gallon = 3.785 liters = 0.1337 cubic feet. Pool volume in gallons is used in every chemical dose calculation. 7.48 gallons per cubic foot is the standard conversion used in pool volume formulas.","199","3","2","1","","","","PHASE_7J_AUDITED"
"unit-liters","unit-liters","https://waterbalancetools.com/entities/unit-liters","1 liter = 0.2642 US gallons = 1,000 milliliters. Used in metric countries for pool volume measurement. Chemical concentrations in mg/L are equivalent to ppm.","157","3","3","0","","","","PHASE_7J_AUDITED"
"unit-fahrenheit","unit-fahrenheit","https://waterbalancetools.com/entities/unit-fahrenheit","Fahrenheit is the US standard for temperature measurement. Pool temperature targets: 78–84°F (residential pools), 100–104°F maximum (hot tubs). LSI temperature factor tables use °F. Conversion: °C = (°F − 32) × 5/9.","215","4","2","2","","","","PHASE_7J_AUDITED"
"unit-celsius","unit-celsius","https://waterbalancetools.com/entities/unit-celsius","Celsius is the SI standard for temperature. Pool targets: 25–29°C (residential), maximum 40°C (hot tubs). Conversion: °F = °C × 9/5 + 32.","137","3","0","3","","","","PHASE_7J_AUDITED"
"unit-minutes","unit-minutes","https://waterbalancetools.com/entities/unit-minutes","Minutes are used in pool chemistry for: turnover rate calculations (Volume in gallons / GPM = turnover time in minutes), wait times after chemical additions, and filtration cycle timing.","186","1","1","0","","","","PHASE_7J_AUDITED"
"unit-hours","unit-hours","https://waterbalancetools.com/entities/unit-hours","Hours are the standard unit for expressing pool turnover time, pump daily run time, and wait times for chemical balancing. PHTA recommends a maximum 8-hour turnover time for residential pools.","192","2","2","0","","","","PHASE_7J_AUDITED"
"unit-days","unit-days","https://waterbalancetools.com/entities/unit-days","Days are used for maintenance scheduling (test twice per week, shock weekly), CYA dissolution time (24–48 days), water change intervals for hot tubs (every 90 days), and chemical activity timelines.","198","1","1","0","","","","PHASE_7J_AUDITED"
"unit-weeks","unit-weeks","https://waterbalancetools.com/entities/unit-weeks","Weeks are the standard interval for pool maintenance activities: weekly water testing, weekly shock treatment (optional), weekly brushing and vacuuming, and weekly filter checks.","178","1","1","0","","","","PHASE_7J_AUDITED"
"unit-months","unit-months","https://waterbalancetools.com/entities/unit-months","Monthly intervals are used for: calcium hardness and CYA testing (monthly), hot tub water changes (every 3–4 months), filter inspection, and salt level verification.","165","1","1","0","","","","PHASE_7J_AUDITED"
